Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
128;22.5.2014 14:04:39;00:00:01;22.5.2014 14:04:39;0,000;VAC;0,000;VAC;22.5.2014 14:04:39;0,000;VAC;;22.5.2014 14:04:40
129;22.5.2014 14:04:40;00:00:01;22.5.2014 14:04:40;0,000;VAC;0,000;VAC;22.5.2014 14:04:40;0,000;VAC;;22.5.2014 14:04:41
130;22.5.2014 14:04:41;00:00:01;22.5.2014 14:04:41;0,000;VAC;0,000;VAC;22.5.2014 14:04:41;0,000;VAC;;22.5.2014 14:04:42
131;22.5.2014 14:04:42;00:00:01;22.5.2014 14:04:42;0,000;VAC;0,000;VAC;22.5.2014 14:04:42;0,000;VAC;;22.5.2014 14:04:43
132;22.5.2014 14:04:43;00:00:01;22.5.2014 14:04:43;0,000;VAC;0,000;VAC;22.5.2014 14:04:43;0,000;VAC;;22.5.2014 14:04:44
133;22.5.2014 14:04:44;00:00:01;22.5.2014 14:04:44;0,000;VAC;0,000;VAC;22.5.2014 14:04:44;0,000;VAC;;22.5.2014 14:04:45
134;22.5.2014 14:04:45;00:00:01;22.5.2014 14:04:45;0,000;VAC;0,000;VAC;22.5.2014 14:04:45;0,000;VAC;;22.5.2014 14:04:46
135;22.5.2014 14:04:46;00:00:01;22.5.2014 14:04:46;0,000;VAC;0,000;VAC;22.5.2014 14:04:46;0,000;VAC;;22.5.2014 14:04:47
136;22.5.2014 14:04:47;00:00:01;22.5.2014 14:04:47;0,000;VAC;0,000;VAC;22.5.2014 14:04:47;0,000;VAC;;22.5.2014 14:04:48
137;22.5.2014 14:04:48;00:00:01;22.5.2014 14:04:48;0,000;VAC;0,000;VAC;22.5.2014 14:04:48;0,000;VAC;;22.5.2014 14:04:49
138;22.5.2014 14:04:49;00:00:01;22.5.2014 14:04:49;0,000;VAC;0,000;VAC;22.5.2014 14:04:49;0,000;VAC;;22.5.2014 14:04:50
139;22.5.2014 14:04:50;00:00:01;22.5.2014 14:04:50;0,000;VAC;0,000;VAC;22.5.2014 14:04:50;0,000;VAC;;22.5.2014 14:04:51
